CID,TeamID,FName,LName,College,Age,Experience,OffPhil,DefPhil,LoyaltyPlayers,LoyaltyCoaches,Ego,OffAbility,DefAbility,STAbility,DevPlayers,JudgingAct,JudgingPot,JudgingQB,JudgingRB,JudgingRec,JudgingOL,JudgingDL,JudgingLB,JudgingCB,JudgingSF,Accountability,Motivating,TimeMgmt,Clutch,Conservative,FBInt,Adjustments,ValuesST,ValuesCharacter,WorkEthic,Preparation,Focus,PlaycallingSkill
137,9,TIMOTHY,NORDSTROM,Houston,33,0,SpreadBal,4-3Cover,38,55,42,7,63,66,36,43,53,67,50,27,40,43,51,55,60,54,32,34,65,72,42,44,48,68,37,52,50,50
138,10,DANA,CORONA,Texas A&M,68,17,BalRun,4-3StuffRun,58,69,22,30,49,51,35,76,72,45,65,58,61,73,44,41,34,42,54,34,25,72,45,72,65,75,23,62,50,43
139,11,TRUMAN,CHAVEZ,Bloomsburg,33,0,BalRun,Cover2Attack,39,29,38,25,23,53,34,50,44,45,61,56,50,48,49,68,25,28,44,18,53,60,71,49,36,50,54,63,50,37
140,12,DYLAN,SMITH,Minnesota,36,4,Smashmouth,Cover2Cover,60,23,57,46,38,86,61,54,16,30,61,55,36,54,34,55,62,29,66,65,43,55,55,40,40,42,66,57,39,68
141,13,NATHAN,WOOD,Fresno State,50,13,WCPass,Cover2Attack,53,40,70,63,82,47,40,20,37,59,75,60,38,44,57,48,47,63,53,77,53,48,37,25,60,58,55,34,37,50
142,14,WILLIAM,TENNYSON,Connecticut,55,20,WCBal,4-3Attack,42,49,33,47,45,43,37,55,34,48,71,54,36,47,56,81,36,47,64,48,51,38,70,46,48,47,52,43,59,53
143,15,ROLAND,LEE,Wisconsin-Whitewater,51,18,WCRun,4-3StuffRun,21,75,41,36,55,70,51,25,17,33,14,61,44,9,50,32,51,23,89,53,45,44,45,51,59,73,31,42,71,53
144,16,ANDY,DUONG,Northwestern,44,4,VertPass,4-3Cover,44,36,36,50,73,54,39,25,79,40,43,67,60,63,47,71,36,54,78,31,48,57,49,45,35,51,102,53,43,66
145,17,LARRY,HUNTER,Tennessee,58,21,SpreadRun,Cover2Cover,63,43,48,29,77,59,53,41,25,56,42,40,55,15,73,53,82,50,39,42,61,58,66,44,12,72,32,29,55,54
146,18,MIGUEL,STEELE,Lambuth,38,2,SpreadPass,Cover2Bal,30,21,53,38,67,55,37,58,41,43,73,17,70,43,42,50,52,43,71,66,38,75,44,33,30,26,36,53,42,57
147,19,RYAN,WILSON,Alabama,66,17,Smashmouth,3-4Cover,61,39,60,45,63,43,55,71,55,56,57,26,43,58,8,44,59,44,30,51,66,48,68,66,38,58,81,50,30,47
148,20,STEVIE,SEPPALA,Virginia,56,3,VertPass,4-3Bal,62,67,37,69,54,22,75,28,58,36,44,48,76,62,66,34,34,53,81,40,12,44,59,30,42,65,43,53,30,38
149,21,LAZARO,WERNER,TCU,47,3,SpreadBal,3-4StuffRun,34,89,29,41,18,31,54,31,47,61,52,22,47,53,36,74,46,13,59,45,51,34,83,60,73,58,79,62,23,66
150,22,ANDREW,ORTIZ,Missouri,56,24,WCBal,4-3Bal,52,56,46,45,26,52,71,52,70,55,70,23,34,43,46,57,25,56,58,16,46,74,45,50,42,72,53,52,79,57
151,23,THOMAS,WINSTEAD,Indiana,55,23,SpreadPass,3-4StuffRun,51,76,62,31,41,36,44,42,52,15,35,30,43,51,77,50,33,65,50,41,41,22,65,44,26,61,36,56,82,59
152,24,JAMES,NICOLETTI,East Carolina,52,20,WCBal,Cover2Bal,52,66,42,47,54,46,37,48,49,50,73,33,60,35,74,6,51,22,88,59,77,44,57,35,21,5,14,56,37,12
153,25,DAVID,KREIDEL,Itawamba(MS) JC,55,6,VertPass,Cover2Bal,52,49,18,75,74,46,79,70,41,59,36,47,38,43,53,55,29,57,72,37,76,46,60,84,72,39,62,43,59,13
154,26,RUSSELL,OBERLIN,Southern Miss,65,2,WCRun,Cover2Attack,62,52,65,48,51,60,71,44,50,52,46,35,30,57,39,49,45,40,21,71,38,13,31,60,37,48,71,44,37,60
155,27,DEREK,BELL,Louisville,57,10,SpreadPass,4-3Attack,73,64,70,39,57,30,45,63,61,66,72,56,44,54,44,54,38,35,36,47,60,37,13,48,24,41,38,54,47,57
156,28,ERIC,VASQUEZ,Northern Iowa,40,2,Smashmouth,3-4StuffRun,41,38,58,47,60,60,68,77,33,74,24,45,57,73,49,39,37,48,50,40,24,31,39,61,44,47,42,56,31,29
157,29,MARVIN,COWAN,Colorado State,47,1,BalPass,4-3Bal,47,60,36,44,42,38,45,39,61,49,45,65,33,36,65,67,45,60,30,35,60,48,34,42,40,46,64,38,48,57
158,30,ROBERT,FLEMING,Georgia Tech,63,18,Smashmouth,4-3Cover,47,68,60,53,12,70,63,61,21,79,42,25,53,61,67,77,45,74,37,44,20,52,48,57,52,34,77,37,40,42
159,31,PAUL,CHANG,Midwestern State,38,4,WCRun,Cover2Cover,49,69,29,51,53,72,56,47,57,40,61,56,27,41,44,53,35,38,58,61,-12,48,68,32,48,37,58,60,59,46
160,32,EUGENE,KELLY,Tulane,68,20,SpreadRun,4-3Bal,62,43,41,65,52,47,55,72,7,42,36,33,60,39,41,48,30,49,69,54,80,51,53,36,39,60,33,72,58,22
161,1,STEVEN,YOUNGBLOOD,Wyoming,37,1,WCPass,4-3Bal,33,67,38,55,46,35,31,40,49,68,34,55,75,52,54,44,40,43,71,53,64,55,46,49,48,41,49,74,46,38
162,2,CHARLES,AVERY,Rutgers,54,8,SpreadRun,4-3Cover,20,50,42,43,87,49,61,61,24,48,52,47,42,68,37,75,40,41,52,46,48,33,61,59,45,59,57,33,42,31
163,3,DONALD,COX,San Diego State,62,13,WCPass,Cover2Cover,35,38,37,50,52,60,33,34,54,67,36,38,51,42,37,78,46,52,58,51,26,68,44,51,42,25,59,91,50,46
164,4,WESLEY,KOHEN,Oklahoma State,49,1,Run-N-Shoot,4-3Attack,65,55,29,49,23,54,69,34,44,46,47,45,53,38,16,33,46,66,76,26,58,36,51,37,61,59,67,37,8,23
165,5,DENNIS,LEE,Michigan,36,1,SpreadBal,4-3StuffRun,73,44,64,36,41,80,63,58,52,45,61,42,34,55,58,34,37,59,54,77,73,64,37,58,27,35,61,82,46,39
166,6,FRANCISCO,BARTELS,Oregon,44,11,BalRun,Cover2Cover,52,55,46,44,40,58,54,40,57,59,37,45,45,18,65,60,44,41,39,44,38,35,34,42,38,56,55,44,67,66
167,7,EDDIE,GONZALEZ,Fresno State,35,2,BalPass,4-3Attack,27,70,72,49,65,63,59,76,57,16,47,40,37,59,96,84,65,56,48,50,33,34,52,69,55,58,43,38,48,39
168,8,JEROLD,DELGADO,Villanova,42,6,WCBal,4-3Bal,69,29,58,64,53,54,36,56,47,37,54,42,59,47,54,58,44,59,43,55,38,85,14,81,54,77,63,16,75,32
169,9,GORDON,OSTRZYEKI,Western Carolina,54,16,BalRun,Cover2Cover,53,64,40,70,39,31,57,14,49,39,42,37,43,56,21,50,67,45,94,50,68,46,57,58,51,33,54,19,52,28
170,10,ALBERT,SCHAFFNER,UAB,49,10,BalPass,Cover2Bal,63,57,23,45,46,36,35,54,17,27,41,24,40,63,86,64,47,47,74,41,80,58,57,36,30,59,41,54,47,79
171,11,JACOB,HAAS,Florida,56,12,Smashmouth,4-3Attack,64,33,54,32,51,50,43,51,31,45,44,53,53,63,49,58,57,66,62,50,60,78,37,64,30,57,32,57,46,31
172,12,HARLAN,CLINE,Wisconsin,33,1,WCPass,Cover2Cover,54,39,49,29,38,47,44,64,59,71,56,60,54,42,44,36,65,35,58,34,14,55,74,55,17,71,53,71,28,67
173,13,EUGENE,COMPOS,Pittsburgh,34,0,WCRun,Cover2Bal,62,68,55,29,61,39,53,33,60,48,55,28,31,62,86,57,56,58,46,10,58,33,62,34,44,39,51,65,46,47
174,14,RICHARD,LEE,North Carolina,37,5,WCRun,4-3Attack,88,74,85,57,51,51,39,56,39,20,46,81,109,50,38,35,56,50,30,63,70,32,76,28,-10,40,78,68,71,55
175,15,CHARLES,BELLOWS,Wake Forest,32,0,BalPass,Cover2Attack,64,62,45,18,57,59,55,20,51,66,56,57,29,41,35,68,53,46,47,24,39,84,27,40,52,29,76,39,80,39
176,16,VIRGIL,CANADY,Washington,51,16,BalRun,4-3Bal,36,50,19,72,71,72,77,40,54,42,26,17,38,72,46,16,40,47,28,78,80,52,51,35,40,42,81,36,59,58
177,17,TOMMY,EWING,Arizona State,67,7,SpreadPass,3-4Bal,58,28,37,49,36,51,81,57,46,73,53,41,49,72,42,44,53,35,22,50,21,43,51,33,72,49,55,24,36,48
178,18,LYLE,MANNING,Stephen F. Austin,60,18,BalRun,3-4Bal,54,54,57,56,72,57,34,41,32,59,84,35,48,32,70,43,45,33,44,49,38,51,28,23,44,34,39,81,45,41
179,19,KEVIN,BENSON,Alabama,37,2,SpreadPass,3-4Cover,53,62,57,50,41,47,57,31,49,100,56,43,82,36,37,29,51,41,34,71,48,56,77,12,58,34,49,39,53,30
180,20,DWAYNE,KASACK,San Diego State,54,20,SpreadPass,4-3Attack,74,50,42,57,61,42,51,39,65,43,45,77,48,31,10,40,39,85,53,58,55,53,59,33,60,37,53,58,24,0
181,21,THOMAS,NAVARRO,Ohio State,40,8,WCPass,4-3StuffRun,33,43,53,64,63,63,47,54,61,25,36,52,35,50,36,61,77,44,28,63,32,63,52,52,24,71,54,63,50,48
182,22,JOSE,THOMPSON,Texas A&M,57,15,SpreadPass,4-3Cover,59,44,55,41,72,67,45,44,46,24,59,68,29,62,29,27,46,79,69,33,57,19,51,49,60,58,28,40,16,35
183,23,HUBERT,MILLER,Memphis,62,0,SpreadRun,46,45,43,69,51,74,33,51,56,45,42,67,26,76,51,48,52,43,51,22,62,65,63,57,52,30,57,65,43,20,57
184,24,DEAN,FREDEEN,Michigan State,70,24,SpreadRun,Cover2Cover,42,81,57,41,63,37,6,58,63,20,73,69,53,58,89,71,28,38,63,35,60,57,49,22,40,45,92,69,85,30
185,25,WILLIAM,MACDONALD,Illinois,50,12,WCBal,4-3StuffRun,54,52,50,17,24,53,41,62,64,32,62,78,51,85,22,74,58,45,38,40,41,46,70,49,42,46,81,44,54,48
186,26,JAMES,PETERSEN,Syracuse,67,13,SpreadPass,Cover2Bal,67,66,50,43,28,55,17,42,43,54,52,42,67,63,42,40,67,81,71,87,87,10,65,31,37,62,46,36,76,62
187,27,DAVID,CHERNOFF,Michigan State,60,27,BalRun,4-3Cover,38,56,45,42,49,54,63,37,65,50,38,59,54,49,58,20,41,63,31,53,47,37,26,31,37,40,27,43,63,49
188,28,JIMMY,BROWN,North Carolina State,36,0,WCBal,4-3Attack,26,56,42,71,42,42,60,61,60,51,60,45,58,46,53,76,20,46,42,53,55,50,62,58,80,31,65,54,37,33
189,29,JOSE,EMMANUEL,Miami(FL),34,2,BalPass,3-4Bal,24,34,66,42,5,63,39,41,94,72,25,66,32,50,52,33,47,10,53,66,31,14,80,57,48,45,69,22,31,61
190,30,TERRY,DENT,North Carolina,45,6,SpreadPass,Cover2Attack,56,67,30,29,50,89,64,33,54,38,37,57,44,48,49,47,40,67,77,62,48,40,57,71,22,42,27,34,52,21
191,31,DANIEL,COLON,Louisville,67,14,BalPass,3-4Bal,45,29,49,57,36,62,46,65,56,52,30,60,52,28,49,57,61,43,19,50,14,24,30,57,53,54,41,81,53,42
192,32,MICHAEL,SANDERSON,Iowa,57,2,BalRun,3-4Attack,52,39,47,66,53,46,54,54,54,61,48,59,67,56,41,73,64,52,73,78,35,75,21,43,57,42,73,54,22,30
193,1,MICHAEL,MCGLADE,Northwest Missouri State,44,11,Smashmouth,3-4Bal,55,35,28,37,37,45,78,34,39,49,41,67,49,50,41,53,67,25,42,53,73,42,35,66,26,26,39,45,42,39
194,2,PETER,CLEGHORN,Fresno State,55,21,BalRun,4-3StuffRun,38,45,61,35,26,29,53,37,74,43,33,72,51,41,54,55,27,53,66,52,30,30,82,62,61,81,47,61,35,54
195,3,STEVEN,GOMES,Auburn,37,3,VertPass,4-3Cover,73,61,35,29,58,56,46,40,29,49,49,47,74,45,64,63,48,25,53,50,69,39,50,44,44,57,24,56,59,41
196,4,JONATHAN,SMITH,Utah,51,2,SpreadPass,4-3Bal,60,55,40,21,45,100,66,67,18,37,61,60,54,49,61,33,57,57,64,60,48,48,25,53,59,66,19,33,70,59
197,5,MICHAEL,BRADLEY,Michigan,62,1,SpreadBal,4-3Bal,51,39,30,52,36,53,64,44,47,25,49,50,32,59,83,63,10,58,63,24,79,64,54,46,15,60,48,45,63,69
198,6,DAVID,NELSEN,Tennessee,48,14,SpreadRun,3-4Bal,61,41,60,58,69,64,47,36,49,19,43,43,63,47,56,63,73,90,69,35,57,49,68,19,37,73,34,39,36,56
199,7,CURTIS,GRAGG,Penn State,47,13,WCBal,3-4StuffRun,55,48,47,63,45,49,56,51,56,51,71,64,49,49,55,42,30,62,20,56,6,40,69,59,17,74,70,62,56,42
200,8,WILLIAM,ELKINS,Baylor,61,12,SpreadBal,Cover2Attack,54,38,54,54,82,62,59,44,41,49,45,15,52,30,58,48,45,42,49,56,3,33,47,70,84,44,53,90,36,59
201,9,BRUCE,KELLY,Cal State Bakersfield,35,2,VertPass,3-4StuffRun,21,56,88,50,33,61,16,35,40,54,48,84,78,66,46,73,44,56,38,58,45,27,61,37,56,45,43,74,58,46
202,10,DAVID,DRUMMOND,Connecticut,50,3,WCPass,4-3Cover,31,56,37,31,50,26,50,38,56,61,65,44,56,31,62,54,32,41,67,44,54,54,71,49,39,68,66,58,41,59
203,11,LARRY,ALVARADO,Boise State,50,8,WCRun,4-3Bal,33,23,61,58,77,52,61,48,88,50,46,77,61,55,63,43,77,57,58,37,60,38,19,75,37,65,53,14,59,40
204,12,PAUL,SHELTON,Wisconsin,40,4,SpreadRun,Cover2Cover,19,39,82,26,45,54,17,48,42,22,66,73,48,68,31,50,46,58,27,51,58,55,74,43,63,73,59,69,52,54
205,13,CHRISTOPHER,WELLS,Western Washington,37,1,SpreadPass,Cover2Bal,61,48,32,35,34,39,51,70,48,78,62,34,40,76,46,74,61,57,39,59,55,24,60,46,57,61,24,42,79,65
206,14,ANTHONY,HARRIS,Louisville,40,8,SpreadPass,4-3Cover,63,5,80,56,32,29,70,97,75,81,74,62,67,82,70,59,30,26,45,69,67,67,42,78,57,74,36,66,42,40
207,15,LARRY,BROWN,Virginia Tech,67,35,SpreadBal,3-4Attack,58,21,76,57,66,26,50,44,59,65,43,54,34,27,55,30,57,57,43,87,63,44,55,57,35,41,51,49,22,78
208,16,BRENT,GOMEZ,UCF,40,2,SpreadBal,4-3Attack,53,74,92,71,42,18,40,53,59,65,26,53,75,32,29,47,48,37,75,49,61,41,19,76,33,59,51,60,46,32
209,17,LAWRENCE,CLAY,Hawaii,65,30,WCBal,4-3Cover,50,79,64,49,22,46,31,83,40,43,73,62,57,17,51,51,29,34,28,83,37,32,64,65,26,26,39,56,48,67
210,18,JAMES,BOSTIC,North Carolina State,40,1,BalPass,4-3Attack,70,52,46,55,56,20,52,34,8,53,45,40,83,48,68,61,69,40,58,57,33,56,63,79,66,66,22,93,28,61
211,19,PHILLIP,SOTO,Texas Tech,52,6,SpreadPass,4-3Attack,35,36,92,51,53,71,33,26,76,79,28,45,36,66,71,39,28,56,35,96,27,79,72,53,54,40,58,62,46,16
212,20,VAN,RAMIREZ,Oklahoma,58,20,SpreadRun,4-3Cover,53,63,39,36,54,28,50,63,23,52,57,85,72,69,52,43,59,42,52,86,62,39,62,58,50,43,48,50,53,56
213,21,JOHN,MESSINA,Miami(FL),56,18,SpreadRun,Cover2Bal,36,49,52,71,45,84,68,24,45,31,59,70,52,29,62,52,59,53,51,33,51,82,18,64,43,25,75,50,44,61
214,22,ROGER,TELSCHOW,West Virginia,52,5,Smashmouth,Cover2Bal,33,35,45,80,64,65,24,43,32,54,44,40,68,51,57,25,58,47,36,45,45,71,67,35,58,60,17,41,48,82
215,23,MACK,DUNN,Carroll(MT),48,7,WCBal,Cover2Attack,76,61,18,63,41,44,28,37,47,42,48,21,67,68,42,65,50,73,78,46,58,31,40,36,22,47,44,39,32,34
216,24,SERGIO,MORSE,McGill,47,2,SpreadBal,4-3Cover,65,73,56,37,63,31,32,17,49,47,33,40,52,43,69,40,52,59,43,56,49,13,55,8,47,79,37,18,54,75
217,25,WAYNE,FREDERICK,Montana,70,19,BalPass,3-4Bal,38,48,2,53,47,48,65,66,39,20,49,28,41,42,27,70,68,66,57,48,47,45,97,65,70,32,60,64,15,43
218,26,KYLE,WERTMAN,Oklahoma,48,6,WCRun,4-3Attack,55,55,50,46,65,31,51,23,32,8,40,38,50,53,31,69,59,49,36,42,57,33,51,47,42,48,29,19,40,55
219,27,KENNETH,TAMBURO,Columbia,63,13,VertPass,4-3Attack,41,34,46,56,66,46,24,50,70,50,32,66,23,60,68,42,36,50,59,43,20,34,46,52,54,57,20,58,57,30
220,28,FREDERICK,NICHOLS,Eastern Oregon,48,6,BalPass,Cover2Bal,31,54,43,89,42,46,49,52,48,28,52,49,68,74,69,33,59,58,39,63,65,34,42,15,34,47,24,47,41,51
221,29,RICARDO,ROUNDY,Arkansas,34,2,Smashmouth,4-3StuffRun,75,78,43,37,66,45,44,36,64,10,67,78,85,22,94,56,50,51,54,60,51,32,51,40,45,48,38,70,59,65
222,30,ANTHONY,ACOSTA,Tennessee,43,4,BalRun,46,35,46,43,31,37,33,19,26,64,56,37,58,26,40,62,77,56,34,45,49,93,52,61,13,32,47,30,50,47,28
223,31,JOSEPH,BASS,Oklahoma State,38,5,Smashmouth,3-4Bal,60,34,19,23,45,31,48,69,59,27,39,37,51,30,44,56,28,50,59,60,-7,38,93,64,56,65,46,85,62,43
224,32,CARLTON,ANDERSON,Utah,70,34,Smashmouth,4-3StuffRun,56,79,53,22,64,52,34,30,35,65,45,27,94,40,56,28,53,66,69,37,46,34,70,65,56,54,43,48,71,45
225,1,DALE,HARRISON,Michigan,35,1,BalRun,Cover2Attack,59,24,60,78,36,29,58,37,45,24,85,25,45,31,39,35,64,57,48,42,46,79,50,44,66,56,50,47,53,57
226,2,RAYMOND,MARTINEZ,Georgia,59,24,WCRun,4-3Attack,23,60,17,72,29,65,43,34,68,50,21,43,42,47,78,49,46,59,54,67,80,40,70,24,65,26,46,38,50,11
227,3,JEFFREY,FRANKLIN,Memphis,38,3,SpreadPass,4-3Bal,34,38,82,42,48,68,50,42,63,27,49,25,44,56,46,37,58,49,57,39,46,66,44,42,39,44,66,43,58,41
228,4,CLAUDE,BICKERSTAFF,Michigan Tech,51,8,WCBal,Cover2Cover,60,41,14,59,44,40,50,46,54,26,34,46,63,43,55,47,68,23,48,70,41,54,58,65,43,66,57,55,37,48
229,5,ROBERT,WELCH,Florida,63,14,SpreadRun,4-3StuffRun,38,54,21,45,40,30,59,45,38,59,63,51,56,70,72,25,34,63,42,44,52,27,46,57,42,66,29,63,45,60
230,6,WALTER,ALBERTS,Washington State,67,30,WCPass,Cover2Cover,25,80,65,32,41,92,53,37,27,62,43,72,60,68,82,34,60,33,70,68,78,39,41,50,43,53,45,37,45,57
231,7,NICHOLAS,WRIGHT,LSU,61,18,VertPass,4-3Bal,64,81,63,32,49,86,51,50,23,69,63,55,53,19,58,24,45,48,29,27,53,22,52,37,35,34,34,63,29,76
232,8,RYAN,SWANSON,California,34,1,WCBal,4-3Cover,72,57,67,30,67,55,39,60,17,81,20,78,44,70,63,80,33,53,62,63,27,56,65,61,45,53,47,83,24,48
233,9,MICHAEL,MORENO,USC,36,1,SpreadRun,3-4Attack,50,69,52,51,34,32,68,43,51,53,58,63,30,11,66,36,43,38,65,38,9,47,23,70,40,28,44,55,39,101
234,10,DAVID,MOELLER,Notre Dame,45,4,WCBal,4-3StuffRun,37,28,61,66,56,51,32,69,68,26,56,83,69,19,48,51,59,58,54,47,60,69,54,71,33,65,43,37,73,56
235,11,EDWARD,ANDERSON,Florida State,63,17,WCPass,4-3Bal,22,40,82,37,50,54,56,59,51,73,46,41,33,34,63,36,26,102,64,39,67,78,30,42,61,47,52,46,65,57
236,12,BRUCE,LAINE,Clemson,36,4,SpreadPass,4-3Bal,67,25,40,53,30,48,60,50,60,50,32,67,44,50,59,58,52,66,65,50,58,57,57,61,74,55,32,47,51,30
237,13,MARK,QUEZADA,USC,43,11,SpreadBal,4-3Cover,64,55,75,62,49,52,72,48,44,28,52,54,38,25,34,37,75,28,70,47,36,55,54,39,63,49,20,38,51,60
238,14,PAUL,ETHERIDGE,Pittsburgh,70,19,WCRun,4-3Attack,62,51,54,50,50,40,57,41,50,66,44,41,51,47,57,60,42,47,65,39,50,54,62,23,54,46,52,39,56,87
239,15,JOHN,HEIL,Shippensburg,42,6,VertPass,4-3Cover,43,46,86,33,81,71,70,50,42,53,59,35,67,44,24,83,43,60,38,43,29,51,66,22,54,35,38,13,10,38
240,16,FERNANDO,WOODE,Southeast Missouri State,69,35,BalPass,4-3Bal,58,20,43,41,72,47,71,66,77,62,55,47,66,51,47,39,51,57,54,38,54,53,48,63,50,68,53,35,37,43
241,17,JONATHAN,GOODE,Utah,37,5,VertPass,4-3Attack,44,68,56,79,31,15,41,36,59,55,44,60,33,40,35,59,40,58,77,32,69,55,42,34,64,49,52,58,63,35
242,18,JEREMIAH,SHAW,Ohio State,39,6,SpreadPass,4-3Bal,44,82,28,44,61,59,61,43,75,67,74,53,29,51,57,39,36,44,49,50,61,26,50,79,80,70,40,39,38,34
243,19,JAMES,THURINGER,Appalachian State,44,3,Smashmouth,4-3StuffRun,44,70,20,72,76,68,45,32,44,28,49,36,35,60,52,20,79,36,38,37,38,58,62,35,36,70,40,51,37,21
244,20,KENNY,DONAHOE,LSU,64,23,SpreadPass,4-3Cover,61,28,44,33,47,40,72,76,42,28,26,67,33,50,66,55,84,55,19,21,58,41,75,63,49,38,44,52,46,38
245,21,BILLY,RALPH,Kent State,46,4,WCPass,Cover2Attack,73,73,62,27,41,35,58,61,45,44,55,66,44,58,62,70,24,72,70,43,74,58,32,72,57,66,45,33,40,59
246,22,PAUL,FRIEDMAN,South Carolina,40,3,SpreadBal,4-3Attack,49,70,39,73,53,55,51,56,23,39,33,44,35,59,74,62,45,37,38,42,56,55,51,17,46,49,41,23,47,65
247,23,COURTNEY,MACPHERSON,Hofstra,65,24,Smashmouth,4-3Attack,41,49,38,20,38,59,27,66,38,43,51,16,56,75,79,41,44,55,47,33,28,43,54,44,65,47,37,78,62,48
248,24,THOMAS,HOLT,Southern Illinois,47,11,VertPass,4-3Cover,53,75,60,71,50,64,45,42,18,48,84,36,70,39,71,36,31,71,38,33,42,72,46,43,24,44,56,48,14,35
249,25,DAVID,RAMA,Michigan,34,2,SpreadPass,Cover2Cover,56,53,40,43,33,66,60,22,77,36,22,36,50,36,58,68,16,24,93,23,35,36,80,45,60,42,64,36,67,6
250,26,GARY,MAYORGA,Arizona State,63,1,BalPass,4-3Bal,21,41,75,41,71,30,32,56,46,51,22,49,46,61,56,57,48,35,86,74,62,90,59,56,64,56,35,30,69,23
251,27,ANTHONY,BACK,Northwestern,67,33,BalRun,4-3Bal,42,76,65,62,56,12,49,51,45,-1,48,65,70,62,56,29,49,36,68,30,51,64,39,54,68,47,45,44,71,37
252,28,CHARLIE,SNELL,Wisconsin,36,0,VertPass,4-3Attack,20,56,32,25,37,54,21,67,19,58,55,60,58,34,69,66,41,58,46,48,54,51,43,49,52,58,42,57,36,50
253,29,FREDDIE,TROTZ,Oklahoma State,49,4,WCBal,Cover2Attack,74,52,45,45,59,62,45,49,73,39,65,50,46,72,65,40,28,61,42,40,43,53,26,68,73,68,58,49,32,49
254,30,RONALD,PEDERSEN,Oklahoma,36,0,WCRun,Cover2Cover,44,34,43,58,57,36,54,44,30,30,27,21,27,77,50,68,45,14,33,25,48,35,61,37,29,58,23,33,71,50
255,31,BRIAN,GENAO,Coe,50,9,SpreadRun,3-4Attack,5,50,75,25,70,63,33,38,68,13,84,56,40,42,46,32,42,43,63,56,56,43,67,56,36,49,29,41,53,36
256,32,WILLIAM,IRELAND,Michigan,41,1,BalRun,4-3StuffRun,59,82,50,52,50,40,65,70,52,64,20,79,58,46,57,96,52,60,21,86,65,91,63,38,51,43,40,86,43,50
257,1,JUAN,JONES,Oklahoma,34,0,VertPass,4-3Attack,75,67,38,37,56,39,43,72,2,66,56,14,67,53,58,71,32,72,80,43,30,43,61,43,64,65,26,52,57,32
258,2,ERNEST,WILLIAMS,Georgia Tech,67,3,BalPass,3-4StuffRun,47,57,54,26,20,46,42,29,60,59,31,78,68,25,63,12,55,57,63,50,51,40,40,44,71,61,40,92,42,56
259,3,FRANK,FOSTER,Navy,70,0,Smashmouth,3-4StuffRun,63,77,65,39,19,82,78,63,49,47,59,36,34,18,62,16,78,19,51,64,82,41,26,43,23,20,39,68,83,46
260,4,RICHARD,SUTTON,UCLA,54,11,Smashmouth,4-3Cover,29,72,32,38,20,9,71,49,25,58,42,54,57,62,41,64,71,62,19,25,43,55,17,68,47,58,46,26,42,57
261,5,JOSE,WASHINGTON,LSU,68,36,BalPass,3-4Attack,64,63,53,33,43,38,69,52,58,75,28,60,23,42,74,42,58,53,51,38,49,32,44,57,44,49,63,43,35,16
262,6,FRANK,HOWARD,Fresno State,49,11,SpreadBal,4-3Cover,39,47,52,93,52,52,50,64,64,87,41,38,60,30,56,21,26,49,72,62,52,35,50,67,59,43,56,51,82,44
263,7,WAYNE,GUTIERREZ,Northwest Missouri State,36,4,BalRun,4-3Cover,42,51,67,59,45,51,40,56,45,53,65,48,46,27,66,30,58,58,47,36,70,55,83,7,45,50,53,37,60,40
264,8,NICHOLAS,FOREMAN,Virginia,49,10,BalPass,4-3Attack,63,9,59,48,54,50,48,48,36,43,47,63,43,40,69,11,27,72,33,59,55,39,35,26,21,41,50,23,44,29
265,9,MATTHEW,JOHNSON,Utah,68,26,SpreadRun,4-3Attack,36,48,62,45,52,41,42,52,85,46,28,59,49,39,54,44,20,50,53,63,43,47,-4,31,60,42,62,33,32,42
266,10,DUSTIN,CERVANTES,Georgia Tech,59,20,Smashmouth,3-4StuffRun,59,52,54,44,42,33,27,73,53,36,50,25,42,48,71,48,51,59,70,88,16,30,37,38,44,39,45,18,43,37
267,11,BILLY,WIGGINS,UNLV,69,22,WCBal,4-3Attack,40,43,54,55,58,49,64,43,76,59,51,67,55,54,36,72,41,53,71,29,82,61,55,39,73,60,48,50,60,65
268,12,MARK,GIVENS,Tulane,40,8,SpreadRun,4-3Cover,47,66,68,22,38,42,48,56,75,60,57,61,53,62,55,50,64,26,57,66,49,59,35,46,77,71,47,49,41,70
269,13,GERALD,HEATH,Oklahoma,53,21,WCPass,3-4StuffRun,57,74,43,35,41,72,46,42,68,57,78,38,69,61,52,37,82,38,23,39,39,49,57,19,33,45,86,55,62,53
270,14,WILLIE,STEPHENS,Oklahoma,56,22,WCPass,3-4Attack,56,35,53,62,33,56,46,64,55,58,57,41,37,44,43,35,54,83,45,41,25,56,16,65,63,48,48,77,41,57
271,15,WALTER,LANDFRIED,Indiana(PA),45,11,SpreadRun,4-3Attack,26,70,45,55,4,51,53,41,37,37,27,47,13,37,19,53,64,15,39,32,52,44,35,46,67,51,65,90,49,32
272,16,WILLIAM,GETCHELL,Arkansas,47,13,WCRun,3-4Attack,65,60,13,48,39,69,29,26,19,57,76,17,82,60,47,64,54,26,48,65,49,46,27,38,80,54,36,51,40,17
273,17,ERNESTO,HAMILTON,Notre Dame,51,13,WCPass,4-3Attack,49,50,13,72,44,66,74,67,35,72,61,60,41,38,57,50,58,74,76,54,46,32,60,89,69,41,22,45,34,69
274,18,DONALD,NEAL,Connecticut,36,4,VertPass,4-3Cover,39,68,37,39,83,50,66,43,58,42,42,69,47,38,48,71,37,62,67,44,82,44,57,40,42,47,40,50,38,55
